date,average_tas_c
1917-10-01,-32.15383129119871
1917-11-01,-34.087373161315895
1917-12-01,-28.734080696105934
1918-01-01,-18.904800415039034
1918-02-01,-8.922735595703102
1918-03-01,-2.8672657012939453
1918-04-01,-0.22671051025389488
1918-05-01,-1.4000942230224496
1918-06-01,-2.6788646697997933
1918-07-01,-13.72587909698484
1918-08-01,-14.766656875610352
1918-09-01,-30.47600231170651
1918-10-01,-23.13676776885984
1918-11-01,-29.35822830200192
1918-12-01,-29.73710803985594
1919-01-01,-17.719617080688465
1919-02-01,-8.327418899536099
1919-03-01,-1.4604312896728402
1919-04-01,-0.6034584045410156
1919-05-01,-1.0817722320556413
1919-06-01,-5.333094406127884
1919-07-01,-16.239875030517567
1919-08-01,-29.44293785095212
1919-09-01,-28.81812229156492
1919-10-01,-27.22872390747068
1919-11-01,-23.518101310729946
1919-12-01,-24.979770851135243
1920-01-01,-16.64697818756099
1920-02-01,-9.859339523315384
1920-03-01,-2.062349319458008
1920-04-01,-0.2274234771728061
1920-05-01,-1.5303947448730355
1920-06-01,-4.639300537109364
1920-07-01,-5.211244201660122
1920-08-01,-10.19153556823727
1920-09-01,-21.8396810531616
1920-10-01,-27.801344299316384
1920-11-01,-25.327241516113247
1920-12-01,-21.251767730712857
1921-01-01,-15.990307807922363
1921-02-01,-7.480744934081997
1921-03-01,-0.6043403625487827
1921-04-01,-0.25403366088863777
1921-05-01,-0.3703777313232308
1921-06-01,-4.658262252807617
1921-07-01,-6.950720214843727
1921-08-01,-16.928452301025345
1921-09-01,-25.586672019958485
1921-10-01,-31.439206123352022
1921-11-01,-28.62946262359617
1921-12-01,-24.236568260192854
1922-01-01,-19.384901809692366
1922-02-01,-7.206508636474609
1922-03-01,-0.4085021972655909
1922-04-01,-0.13877563476557953
1922-05-01,-0.9758533477782976
1922-06-01,-2.004007720947243
1922-07-01,-5.973151397705067
1922-08-01,-18.787903022766102
1922-09-01,-19.87431354522704
1922-10-01,-21.99300155639645
1922-11-01,-26.74491157531736
1922-12-01,-20.354615211486788
1923-01-01,-15.34967174530027
1923-02-01,-8.53757972717284
1923-03-01,-1.6295478820800327
1923-04-01,0.1378658294677848
1923-05-01,-0.4161567687988281
1923-06-01,-1.9009010314941293
1923-07-01,-8.071340179443325
1923-08-01,-22.320360183715792
1923-09-01,-22.803704452514637
1923-10-01,-20.10792312622067
1923-11-01,-22.41205539703367
1923-12-01,-27.72481460571288
1924-01-01,-9.926837921142578
1924-02-01,-7.202154541015602
1924-03-01,-1.6483562469481967
1924-04-01,0.3922191619873274
1924-05-01,0.3772331237793196
1924-06-01,-1.7355247497558253
1924-07-01,-6.540293884277332
1924-08-01,-14.82913551330563
1924-09-01,-21.149508666992176
1924-10-01,-26.279154205322243
1924-11-01,-18.399005126953114
1924-12-01,-23.251982307434048
1925-01-01,-18.52351779937743
1925-02-01,-3.1310321807861214
1925-03-01,-1.0094100952148324
1925-04-01,0.383853149414108
1925-05-01,0.940076065063522
1925-06-01,-5.291943740844715
1925-07-01,-13.1490684509277
1925-08-01,-19.30763759613035
1925-09-01,-22.39597034454343
1925-10-01,-27.153585433959933
1925-11-01,-29.319913101196278
1925-12-01,-20.185678482055636
1926-01-01,-22.636272621154774
1926-02-01,-6.931969070434548
1926-03-01,-1.4975688934325717
1926-04-01,0.26685562133792473
1926-05-01,0.0022861480713345372
1926-06-01,-3.307833862304676
1926-07-01,-5.177014923095669
1926-08-01,-10.393551254272438
1926-09-01,-16.697528839111328
1926-10-01,-23.76465587615965
1926-11-01,-27.162891197204573
1926-12-01,-21.78683948516843
1927-01-01,-18.644199562072743
1927-02-01,-9.019299316406205
1927-03-01,-2.3206924438476335
1927-04-01,-0.11651878356929046
1927-05-01,-1.1276992797851335
1927-06-01,-5.112360382080055
1927-07-01,-15.025455665588368
1927-08-01,-14.919601058959927
1927-09-01,-24.857398986816378
1927-10-01,-23.858402061462385
1927-11-01,-31.801236343383778
1927-12-01,-22.81570625305173
1928-01-01,-23.449289703369118
1928-02-01,-7.736407470703114
1928-03-01,-0.9556442260741846
1928-04-01,-0.22349166870117188
