date,year,month,average_tas_c
2059-06-03,2059,Jun,-0.20794282801006148
2059-07-04,2059,Jul,-0.3146096622242567
2059-08-03,2059,Aug,-3.737624942555101
2059-09-03,2059,Sep,-4.375340360753626
2059-10-03,2059,Oct,-7.313239961511954
2059-11-01,2059,Nov,-11.14816643210014
2059-12-02,2059,Dec,-9.798704618566148
2060-01-01,2060,Jan,-2.6991613051470154
2060-02-01,2060,Feb,0.09472261316636832
2060-03-02,2060,Mar,1.7203537884880689
2060-04-02,2060,Apr,2.509591136259189
2060-05-03,2060,May,1.7207067153033222
2060-06-02,2060,Jun,0.2955394071691444
2060-07-03,2060,Jul,-2.1062780043657767
2060-08-02,2060,Aug,-4.016983929802393
2060-09-02,2060,Sep,-8.143223302504566
2060-10-02,2060,Oct,-6.88945707433362
2060-10-31,2060,Oct,-7.014195341222376
2060-12-01,2060,Dec,-4.872686408547793
2060-12-31,2060,Dec,-0.3867977366727473
2061-01-31,2061,Jan,1.4533493939568416
2061-03-02,2061,Mar,4.757865995519296
2061-04-02,2061,Apr,3.9116774615119994
2061-05-03,2061,May,2.6103063246783336
2061-06-02,2061,Jun,1.1625872443703997
2061-07-03,2061,Jul,-0.251268095128637
2061-08-02,2061,Aug,-5.936182717715951
2061-09-02,2061,Sep,-11.337662281709527
2061-10-02,2061,Oct,-10.155786132812466
2061-10-31,2061,Oct,-12.458866254021132
2061-12-01,2061,Dec,-7.985575597426475
2061-12-31,2061,Dec,-2.6123847512637894
2062-01-31,2062,Jan,0.05460456399356417
2062-03-02,2062,Mar,3.651010311351115
2062-04-02,2062,Apr,3.294212431066171
2062-05-03,2062,May,3.474963019875929
2062-06-02,2062,Jun,1.2774945427390207
2062-07-03,2062,Jul,-0.882584515739893
2062-08-02,2062,Aug,-0.6691434972426009
2062-09-02,2062,Sep,-8.077212344898896
2062-10-02,2062,Oct,-7.373196590647979
2062-10-31,2062,Oct,-4.106669706456785
2062-12-01,2062,Dec,-5.7816521139705515
2062-12-31,2062,Dec,-1.377683033662663
2063-01-31,2063,Jan,1.70505694221049
2063-03-02,2063,Mar,4.239626536649837
2063-04-02,2063,Apr,4.195346607881447
2063-05-03,2063,May,2.764746093750034
2063-06-02,2063,Jun,1.4000341078814813
2063-07-03,2063,Jul,-0.6814557243795889
2063-08-02,2063,Aug,-2.838178926355681
